decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
2020,2020,The Kid LAROI,ALWAYS DO,australian hip hop,151705,The Kid LAROI - ALWAYS DO,2020-11-06,0.5820000000000001,0.0442,0.762,0.426,1,0.0,8,0.0858,-6.865,1,83,0.113,167.827,3QCU8BT0zDS9LPVfEhRFEE
2020,2020,"Beatking, Queendome Come",Then Leave (feat. Queendome Come),,151520,"Beatking, Queendome Come - Then Leave (feat. Queendome Come)",2020-03-27,0.491,0.0656,0.912,0.568,1,0.000105,2,0.0521,-6.107,1,74,0.47600000000000003,140.968,2Xoc4gqPbBa3QHKpBLJ5l8
2020,2020,"Gucci Mane, Kodak Black, London On Da Track",Big Boy Diamonds (feat. Kodak Black & London on Da Track),,151482,"Gucci Mane, Kodak Black, London On Da Track - Big Boy Diamonds (feat. Kodak Black & London on Da Track)",2020-11-19,0.542,0.0307,0.884,0.635,1,0.0,0,0.114,-6.284,0,42,0.299,129.045,0zPEXmb9TyAhUTfNuQ55u2
2020,2020,"NAV, Gunna",Young Wheezy (with Gunna),,151481,"NAV, Gunna - Young Wheezy (with Gunna)",2020-11-06,0.289,0.00998,0.917,0.529,1,0.0,1,0.0884,-3.785,0,77,0.10099999999999999,122.0,0bMyxvtbPa7HFemLjzw0xX
2020,2020,"NAV, Gunna",Young Wheezy (with Gunna),,151481,"NAV, Gunna - Young Wheezy (with Gunna)",2020-11-11,0.311,0.0122,0.9179999999999999,0.544,0,0.0,6,0.085,-3.7489999999999997,0,47,0.0842,122.01700000000001,0DZCRBEqV2GYTWj8OPA49H
2020,2020,"NAV, Gunna",Young Wheezy (with Gunna),,151481,"NAV, Gunna - Young Wheezy (with Gunna)",2020-11-11,0.293,0.00998,0.9159999999999999,0.529,1,0.0,6,0.0884,-3.785,0,51,0.102,121.99799999999999,3Xp7ctMGuyhU8riWFR6a36
2020,2020,"Benny Benassi, Jeremih",LOVELIFE (with Jeremih),,151475,"Benny Benassi, Jeremih - LOVELIFE (with Jeremih)",2020-11-06,0.8640000000000001,0.239,0.795,0.7829999999999999,0,2.93e-06,6,0.0488,-4.715,0,70,0.0773,122.98,27ITlhgZIx0ZYwaLYYDBsi
2020,2020,YoungBoy Never Broke Again,Kacey Talk,"baton rouge rap, trap",151249,YoungBoy Never Broke Again - Kacey Talk,2020-09-11,0.773,0.535,0.877,0.607,1,0.0,10,0.138,-7.818,0,80,0.15,127.055,1SF8piqsZWn86DajVKih8F
2020,2020,Pop Smoke,Hotel Lobby,brooklyn drill,151011,Pop Smoke - Hotel Lobby,2020-07-20,0.201,0.198,0.688,0.61,1,0.0015400000000000001,11,0.114,-6.79,1,71,0.109,88.995,5xKXcU8tpSYz7C7wrMMYec
2020,2020,"King Von, Lil Durk, Prince Dre",Back Again (feat. Lil Durk & Prince Dre),,151000,"King Von, Lil Durk, Prince Dre - Back Again (feat. Lil Durk & Prince Dre)",2020-10-30,0.725,0.0173,0.87,0.563,1,0.0,5,0.11900000000000001,-8.373,1,70,0.451,159.931,0rk2IHFiHFnO7t0jvAeHW9
2020,2020,Kidd G,Dirt Road,,150890,Kidd G - Dirt Road,2020-10-02,0.174,0.52,0.7929999999999999,0.512,0,0.0,8,0.125,-7.862,1,70,0.0724,140.109,3azaE9S4YBYOuKmZu2TZrV
2020,2020,Pop Smoke,44 BullDog,brooklyn drill,150857,Pop Smoke - 44 BullDog,2020-07-03,0.318,0.0287,0.8,0.564,1,1.65e-06,8,0.11199999999999999,-5.817,1,71,0.4,139.989,7sjFIZ1g5QLJLGja3k592K
2020,2020,J Balvin,Rojo,"latin, reggaeton, reggaeton colombiano",150853,J Balvin - Rojo,2020-02-27,0.444,0.15,0.652,0.595,0,0.00011499999999999999,11,0.0842,-4.04,1,81,0.113,172.27,4uziEsK1yiqdauKVDPsmVG
