acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
49.2,27.2,43.8,0,8.58,19.4913609,3.35,42.9791331,51
52.2,56.7,36,0,11.8,26.5466253,4.04,53.9584336,65
94.2,36.1,1.74,5.39E-04,9.97,48.7947324,4.03,39.9120953,19.3
98.9,46.8,53.1,0.262,70.2,16.4191419,57.9,29.4761297,63.3
67.4,38.4,49.1,7.33E-03,73,21.1868246,4.65,47.3731137,39.3
73.8,73.9,81,1.72,5.69,13.7287258,3.43,53.1911509,96.7
5.45,58.9,67.6,0.185,4.42,20.3552708,4.75,66.9298227,97.9
73.4,83,42,0.201,21.3,15.0795962,5.42,51.6201679,74.3
74,53.2,86.8,0,88.6,25.8849414,91.3,38.1360012,5.49
85.4,36.7,2.52,1.38E-04,19,49.5745163,3.77,45.1261014,19.2
98,37.4,12.5,98.9,21.5,28.6691904,3.4,45.8000377,40.4
23.3,27,31.9,0,5.4,17.6195561,3.53,84.3194709,49.5
63.8,73,69.3,0.0101,17.5,14.5198343,3.3,52.8889261,96.5
57.6,70.9,37.4,49.5,8.92,27.2066913,4.8,38.6956613,80.6
82.1,55,67.1,1.01E-04,22.5,24.7217369,44.6,52.2472216,59.1
75.3,24.9,53.8,10.9,34.2,17.1536271,5.24,30.3300613,45.1
77.7,39.9,34.2,7.72E-03,35.8,25.6471235,5.15,75.8994537,52.3
88.1,54.6,4.46,50.6,11.9,33.7701417,3.81,28.5941522,20.1
80.5,60.5,43.4,1.01,12.3,18.3863975,3.62,50.972603,43.5
99.4,40.5,27.7,81.4,11.4,37.7159775,5.18,36.1627493,78.2
63.1,46,54.6,0,15.7,15.0618003,2.88,59.6073589,85.2
88.5,41.8,83.1,0.188,34.5,15.0035592,8.7,32.6227003,25.4
96.1,59.5,66.2,2.77,11.9,13.6769559,2.84,48.8884238,88.6
57.4,27.3,28.1,1.22E-03,8.32,24.2816929,3.19,41.1783419,55.3
72.5,46.5,80.4,96.6,39.8,17.0808257,4.1,37.1937462,84.4
96.1,58.3,14.2,89.9,10.3,33.6552773,4.41,28.5585718,14.1
93.8,42,21.1,0,12,23.3530706,3.42,41.9175789,19.4
95.8,8.1,9.09,89.1,8.81,37.3341746,3.67,72.9613428,5.76
85.5,49.5,34.4,76.9,26,25.6924222,3.16,58.3779485,32.2
81.1,57.2,65,0,16.9,17.1034751,2.96,51.1270642,96.3
50.4,69.1,49.8,0,11.7,21.6640782,6.86,60.6768664,80.2
88.8,35.5,29.8,0,50.4,23.3724843,3.41,46.53467,58.4
68.1,55,39.2,0.231,10.5,19.6401993,2.38,29.3350635,57.2
37.3,35.9,44.9,81.1,6.72,31.254449,3.72,77.511459,86.9
9.54,56.5,76.5,81.7,39.1,16.6181324,3.16,63.562653,96.4
96,36.9,33.9,78.8,11,22.4276839,3.34,35.9710333,42.8
32.3,64.2,38.3,53.1,5.39,26.9090144,4.39,44.2583562,71.5
61.9,46.8,75.6,95.6,31.9,14.8547208,9.69,51.9856004,71.8
67.7,52.8,56,3.33E-03,7.45,11.7064648,3.04,48.5405722,62
24.2,44.5,65.7,44.2,33.1,21.1690287,5.03,64.7870403,56.9
73.9,54.4,35.2,0,31.1,13.8193231,3.14,40.2946901,44.6
61.8,36.6,78.9,5.41E-03,12.3,14.2577493,3.84,56.8772892,58.7
84.8,41,13.9,9.07E-03,11,31.9501068,3.01,41.0042069,22.9
64.6,41.3,28.6,1.01E-04,33.3,24.1781531,2.74,36.8961259,45.1
93.7,58.2,43.3,5.61E-04,58.7,35.2730861,17.4,39.830888,44
98.7,38.2,9.47,89.9,9.78,40.2753511,4.4,36.5545533,27.2
62.1,67.2,67.7,1.18E-04,3.99,14.9970879,4.61,26.0817514,93.6
83.5,45.6,34.4,0,42.7,24.3124312,10.7,63.052387,82.1
91.3,15.5,14.3,85.4,11.1,35.0126189,3.69,30.6959124,12.1
